x,y
767.166,1741.6
754.181,1750.47
818.01,1874.07
808.575,1755.62
804.608,1808.82
831.691,1766.39
755.357,1743.43
877.181,1811.59
811.51,1831.72
802.773,1702.08
916.499,1876.41
871.639,1860.99
879.435,1782.87
793.584,1645.08
823.787,1775.22
866.989,1865.11
823.485,1841.24
912.802,1913.19
815.849,1895.83
812.388,1940.97
863.063,1798.31
881.395,1900.13
843.09,1809.62
882.234,1890.44
848.351,1749.3
899.939,1883.89
821.445,1808.32
812.071,1780
803.444,1878.1
831.717,1791.03
813.943,1857.8
857.436,1971.17
815.568,1845.59
790.386,1725.58
854.146,1878.39
877.373,1901.7
887.006,1822.11
934.781,1965.12
832.927,1881.43
851.191,1856.14
812.647,1757.44
790.449,1794.16
835.418,1843.94
824.175,1814.76
823.749,1895.35
849.283,1832.97
819.465,1806.98
827.785,1903.34
848.974,1853.96
847.077,1833.08
839.926,1884.45
847.569,1897.32
821.039,1760.56
803.92,1786.89
888.606,1855.9
777.262,1813.57
758.413,1889.12
816.785,2022.64
878.867,1898.8
913.334,1903.03
816.427,1868.6
841.215,1671.89
752.457,1739.46
798.325,1744.78
815.564,1742.02
893.98,1816.33
717.802,1806.87
719.742,1697.18
872.779,1800.28
807.11,1823.71
832.652,1900.75
793.989,1858.53
841.071,1686.71
832.566,1644.56
876.962,1866.25
893.688,1946.19
791.018,1820.61
833.885,1834.11
857.04,1832.95
894.55,1833.72
897.588,1903.99
878.553,1813.13
888.098,1924.89
811.772,1719.82
804.438,1829.69
836.118,1734.77
775.922,1819.88
789.619,1757.18
831.381,1779.59
881.575,1868.99
858.503,1839.3
812.448,1825.1
890.179,1913.87
830.849,1805.04
858.158,1836.44
870.058,1848.08
787.227,1799.47
811.306,1845.15
795.431,1626.65
807.488,1906.85
865.796,1897.76
833.911,1880.01
852.66,1792.89
796.222,1810.34
764.238,1763.45
786.37,1833.35
860.261,1888.71
870.279,1779.2
884.395,1720.81
881.421,1872.75
763.856,1727.91
827.703,1898.11
895.011,1868.6
866.881,1879.71
744.643,1705.57
818.658,1850.61
776.938,1744.68
936.032,1844.48
868.056,1877.33
799.028,1751.16
962.055,1892.97
825.299,1785.99
870.892,1832.95
889.045,1855.74
852.147,1836.17
786.23,1917.51
760.204,1946.16
731.403,1832.8
890.001,1751.92
857.936,1856.45
833.921,1727.81
870.661,1844.61
871.198,1796.64
914.763,1890.1
874.028,1851.89
737.55,1914.52
838.494,1861.79
890.47,1822.9
887.642,1920.2
786.908,1733.26
810.605,1729.18
828.081,1701.15
859.704,1887.34
876.379,1768.51
865.644,1876.85
814.776,1871.81
781.234,1831.96
734.6,1711.89
804.041,1809.88
740.465,1876.22
830.246,1870.45
848.369,1800.85
827.85,1650.21
822.693,1731.27
825.899,1691.17
781.731,1855.2
844.775,1897.7
805.915,1818.33
956.487,1870.65
847.389,1881.48
870.382,1875.87
803.171,1801.34
818.94,1805.42
864.81,1883.11
830.922,1825.87
832.52,1850.99
841.413,1830.7
783.537,1690.54
877.65,1925.45
773.707,1769.9
867.64,1895.79
850.828,1883.3
864.8,1657.17
872.698,1858.24
794.891,1785.15
880.297,1770.27
835.51,1773.41
831.507,1785.88
841.96,1818.1
845.501,1834.26
846.763,1760.69
907.712,1927.31
864.881,1908.54
833.328,1782.63
898.189,1881.05
866.883,1830.13
746.451,1826.55
848.769,1868.06
797.474,1879.84
914.47,1921.25
873.082,1906.65
774.353,1840.53
863.779,1840.79
768.067,1834.47
877.036,1917.72
817.619,1801.46
847.422,1831.66
832.683,1837.45
918.407,1850.7
832.882,1788.42
843.671,1961.22
870.647,1873.29
864.414,1835.88
793.416,1744.64
850.047,1881.17
886.832,1854.52
924.512,1914.02
776.861,1794.74
791.479,1824.2
824.674,1900.54
933.254,1853.74
760.064,1680.08
819.499,1822.91
742.783,1813.48
847.329,1766.71
853.341,1811.13
765.575,1756.68
865.6,1817.96
830.164,1823.99
999.677,1866.59
886.68,1912.8
785.999,1848.52
970.104,1963.47
828.477,1829.41
855.426,1883.79
807.019,1887.23
900.808,1792.77
885.815,1794.03
883.277,1775.1
772.444,1726.02
837.778,1799.3
767.926,1697.64
816.29,1867.58
831.627,1836.63
870.719,1878.7
886.389,1880.26
824.594,1766.1
848.376,1860.11
914.401,1833.43
926.495,1937.38
826.199,1804.72
920.783,1793.47
878.037,1860.88
838.716,1756.37
855.067,1793.31
800.949,1884.5
799.3,1826.72
843.85,1870.28
741.071,1705.35
773.486,1750.84
911.609,1913.2
797.913,1856.21
836.057,1789.17
825.915,1777.05
903.916,1898.88
733.339,1796.33
808.536,1799.25
815.667,1872.55
757.869,1775.67
844.785,1871.07
877.72,1883.34
804.849,1755.3
854.426,1814.73
784.879,1829.06
855.092,1882.29
842.841,1741.48
898.738,1917.29
864.36,1829.65
855.11,1818.38
742.733,1831.65
812.245,1820.2
696.15,1677.18
850.134,1856.11
871.093,1780.94
792.12,1880.1
872.354,1875.46
821.787,1775.82
858.407,1879.48
806.586,1821.61
840.365,1877.11
881.247,1836.82
757.783,1857.5
817.147,1879.56
872.711,1826.06
827.001,1890.55
901.601,1903.91
842.88,1905.74
855.231,1843.4
716.181,1826.95
725.485,1743.95
934.867,1872.85
837.995,1710.6
739.54,1717.02
773.477,1864.57
853.843,1772.25
887.27,1882.77
816.721,1759.37
861.742,1863.19
855.982,1848.07
889.841,1818.84
863.236,1877.6
848.435,1820.44
905.825,1913.01
837.733,1843.5
779.617,1798.69
909.847,1937.73
808.509,1828.64
911.957,1764.14
863.585,1790.23
836.924,1822.4
815.553,1788.04
897.311,1842.27
852.266,1841
907.292,1885.2
791.02,1648.48
828.323,1866.95
798.666,1663.88
844.832,1787.31
897.784,1921.75
768.479,1719.71
837.108,1919.34
803.78,1802.7
832.335,1834.66
885.785,1729.4
901.795,1921.26
835.476,1913.58
886.643,1863.62
885.727,1857.47
793.299,1751.1
887.787,1912.03
887.014,1895.34
833.301,1825.83
904.628,1932.5
794.554,1906.39
845.12,1799.78
751.825,1650
841.467,1905.44
773.287,1833.09
879.27,1870.59
818.296,1624.26
832.432,1782.7
834.913,1885.69
784.309,1755.11
864.203,1833.56
890.154,1891.05
897.578,1922.94
744.125,1639.81
877.577,1853.35
871.727,1911.91
817.391,1859.16
845.375,1882.39
866.795,1890.86
827.318,1763.24
740.977,1627.71
840.273,1812.19
777.245,1747.71
834.296,1806.68
808.372,1655.54
855.799,1867.06
889.616,1906.76
713.139,1678.55
769.218,1753.49
848.785,1822.56
777.387,1708.63
844.992,1660.9
772.471,1834.19
915.992,1941.24
907.18,1849.9
813.788,1810.38
885.694,1794.7
769.941,1779.97
850.25,1877.5
788.558,1911.49
718.231,1782.89
832.587,1790.71
919.553,1830.87
835.082,1822.93
873.535,1820.02
887.142,1884.74
841.139,1813.25
805.117,1834.02
831.048,1761.88
782.318,1659.81
855.479,1914.33
883.866,1853.58
819.253,1849.96
813.633,1769.98
827.18,1819.73
839.818,1717.98
920.398,1897.84
908.824,1851.39
898.172,1915.53
835.92,1899.35
806.287,1819.4
896.785,1813.58
872.278,1782.91
839.043,1671.07
887.726,1830.66
787.131,1807.21
880.289,1950.93
824.624,1890.15
918.249,1928.36
877.374,1946.53
925.802,1899.04
775.867,1656.87
815.951,1815.95
828.405,1774.5
809.824,1756.77
860.621,1853.64
829.646,1904.76
735.453,1775.08
855.563,1862.25
828.966,1771.18
831.165,1753.29
751.013,1820.13
784.115,1620.53
815.814,1801.78
859.822,1834.72
870.013,1891.37
807.836,1841.87
883.93,1951.64
702.064,1724.75
828.294,1782.33
859.214,1863.57
913.98,1900.16
810.855,1838.76
856.701,1929.32
846.09,1871.91
788.234,1770.3
819.267,1699.99
837.668,1763.31
817.119,1740.35
817.119,1829.18
827.758,1685.77
843.178,1809.2
804.611,1814.23
870.875,1860.87
831.515,1737.82
860.652,1861.8
772.351,1763.3
854.555,1789.52
783.812,1844.52
766.246,1840.47
820.651,1846.26
898.298,1963.97
857.567,1916.64
881.807,1821.23
829.182,1775.48
900.535,1901.33
772.338,1805.1
818.492,1835.38
841.482,1803.79
867.453,1834.96
869.424,1897.73
865.676,1931.62
871.809,1740.83
774.872,1827.17
916.284,1964.18
900.004,1882.87
882.529,1742.19
754.681,1714.45
819.057,1900.22
864.162,1860.25
806.373,1787.76
861.525,1797.97
872.004,1770.12
793.876,1672.03
858.611,1811.81
830.307,1811.33
883.762,1949.59
807.956,1750.63
814.306,1833.78
915.604,1759.48
814.824,1814.92
835.549,1878.57
777.637,1829.99
794.957,1869.91
824.032,1748.9
969.946,1924.59
795.234,1734.9
768.435,1728.9
826.449,1809.8
839.399,1840.53
844.238,1791.23
875.781,1849.2
827.413,1804.56
825.431,1785.95
776.525,1764.6
878.753,1844.14
880.128,1894.26
840.331,1873.73
795.343,1814.91
821.671,1857.9
856.68,1840
758.146,1722.01
862.596,1853.2
822.325,1829.51
824.057,1840.84
902.358,1892.95
794.525,1773.34
804.051,1723.44
811.759,1807.03
844.877,1851.07
804.82,1737.41
889.309,1912.02
851.238,1824.62
803.78,1691.56
841.244,1884.05
909.772,1896.98
791.318,1641.34
831.083,1810.16
837.925,1801.18
792.43,1876.18
837.148,1892.78
